aphiaID,scientificName,n_events
172535,Ceratoneis fasciola,40
232110,Dicroerisma psilonereiella,40
600814,Didymocystis,40
18526,Volvocales,39
110234,Protoperidinium mite,39
163880,Cocconeis scutellum var. scutellum,39
178185,Chaetoceros peruvianus,39
134541,Nephroselmis pyriformis,38
341343,Polytoma,38
418221,Pseudo-nitzschia subfraudulenta,38
979879,Synedra delicatissima var. mesoleia,37
109543,Peridiniella,36
110260,Protoperidinium thorianum,36
148915,Coscinodiscales,36
160522,Chaetoceros externus,36
163226,Lauderia pumila,36
149292,Chaetoceros anastomosans,35
155560,Diplopsalopsis bomba,35
160519,Attheya,35
175743,Nitzschia pseudodelicatissima,35
176272,Tabellaria fenestrata var. asterionelloides,35
708293,Gyrosigma tenuirostrum,35
235922,Braarudosphaera bigelowii,34
162749,Protoperidinium cerasus,33
175930,Staurosira construens var. construens,33
109468,Fragilidium,32
149333,Tabellaria,32
163922,Ctenophora pulchella,32
623645,Gymnodinium corollarium,32
149208,Pinnularia,30
157072,Rhabdonema,30
172818,Polyasterias problematica,30
134535,Scourfieldia,29
146541,Spirulina,29
149119,Bacteriastrum hyalinum,29
149182,Pleurosigma normanii,29
175322,Vibrio tripunctatus,29
175432,Nitzschia palea var. palea,29
177484,Woronichinia compacta,29
179368,Melosira tenuissima,29
146538,Lyngbya,28
163261,Lauderia mediterranea,28
163487,Thalassiosira guillardii,28
668847,Micropodiscus weissflogii,28
1305343,Peridinium quadridentatum,28
109723,Amphidinium carterae,27
149100,Thalassiosira hyalina,27
235825,Pleurochrysis,27
577719,Erkenia,27
614620,Protoperidinium marielebouriae,27
134528,Halosphaera,26
134550,Pyramimonas subg. Trichocystis grossii,26
146547,Nostocales,26
149553,Gomphonema,26
156631,Coscinodiscus normanii,26
178924,Gloeocystis,26
162740,Ollicola vangoorii,25
345830,Pterosperma dictyon,25
494309,Uronema,25
577553,Dinobryon suecicum,25
163655,Amphora commutata,24
660753,Spirulina subsalsa,24
157252,Dinobryon sertularia,23
231887,Rhizosolenia indica,23
235802,Acanthoica quattrospina,23
248133,Monas,23
345881,Pterosperma vanhoeffenii,23
622459,Pseudostaurosira parasitica,23
699623,Haptolina hirta,23
144302,Tribonema,22
149220,Asterionella japonica,22
555264,Thalassiosira delicatula,22
961873,Chaetoceros pseudobrevis,22
109638,Dinophysis odiosa,21
149472,Navicula palpebralis,21
176213,Synedra delicatissima var. angustissima,21
416885,Chlorhormidium,21
495333,Pyramimonas disomata,21
841190,Tripos bucephalus,21
801,Chlorophyta,20
149092,Thalassionema,20
149099,Thalassiosira antarctica,20
149203,Navicula cryptocephala,20
162693,Zygnematales,20
178617,Crucigenia,20
625408,Dolichospermum sigmoideum,20
146167,Cryptaulax,19
149233,Lauderia borealis,19
149322,Lithodesmium undulatum,19
149335,Grammatophora,19
232516,Mesoporos perforatus,19
246606,Pseudo-nitzschia fraudulenta,19
978783,Synedra actinastroides var. actinastroides,19
149616,Campylodiscus,18
163288,Zygoceros rhombus,18
